i,q,symbol,bin,qpsk4_score,carrier_rms
-0.8406445,0.1626980,2,-61,0.2655490,0.0322064
-0.3270052,0.1632536,2,-58,0.2100309,0.0333572
-1.1407562,0.1813693,2,-57,0.2247283,0.0340330
-0.2995082,-0.0184686,2,-56,0.2210422,0.0332184
-0.1766973,-0.0086043,2,-54,0.1823994,0.0329907
-0.6285694,-0.3208895,2,-49,0.1672389,0.0347945
-0.3745923,-0.2606620,2,-48,0.2353979,0.0343193
0.0004041,0.0343078,2,-47,0.2414223,0.0320335
0.0018327,1.6458882,2,-46,0.1879204,0.0355634
0.1593373,0.1425651,2,-44,0.1774834,0.0316402
-0.1778121,0.2087027,2,-43,0.1669991,0.0335626
-0.6019477,-0.0814939,2,-42,0.2398450,0.0326647
0.0747520,-0.3862746,2,-40,0.2284884,0.0344049
0.6731691,-0.1619972,2,-39,0.2268003,0.0354010
1.0630022,0.9126770,2,-38,0.2202643,0.0346560
0.5321066,-1.2317312,2,-36,0.2231240,0.0331801
-1.0289217,-0.1565092,2,-33,0.1589296,0.0329247
-0.5995063,0.4633934,2,-32,0.2391770,0.0345359
0.6483938,0.9832054,2,-31,0.2330564,0.0354402
-0.9218227,-0.9454914,2,-27,0.2107448,0.0322772
0.0674921,0.1660959,2,-25,0.1999021,0.0335838
-0.4593788,0.0576594,2,-24,0.1679632,0.0348238
0.5276374,0.8161117,2,-22,0.2049773,0.0350560
-0.2973176,-1.6604264,2,-20,0.1728152,0.0345012
-0.3460516,0.5410761,2,-18,0.2527941,0.0328072
0.2720513,0.0259130,2,-16,0.3097780,0.0317280
-0.1074498,0.5651051,2,-14,0.1747163,0.0338224
0.2605439,0.2894897,2,-13,0.1633070,0.0345562
-0.0953990,0.4547970,2,-12,0.1729274,0.0357050
0.1583159,0.4320393,2,-9,0.1710930,0.0326216
-0.8092990,-0.0338546,2,-5,0.1951635,0.0333549
1.1498560,0.8281137,2,-4,0.2042495,0.0343066
-0.2202072,-0.3652762,2,1,0.2247535,0.0338508
-1.2122078,0.4073721,2,2,0.2939762,0.0348152
-1.0819247,-0.7344806,2,3,0.1737424,0.0339353
-0.2313853,0.6040186,2,4,0.2594089,0.0346524
-0.0590452,0.0395028,2,6,0.1565750,0.0334332
0.2604126,-0.3662896,2,7,0.1737236,0.0326045
1.7329507,0.6224402,2,9,0.1678294,0.0326805
0.9414635,0.7075136,2,10,0.2213898,0.0344193
-0.2627238,0.5813326,2,12,0.2120367,0.0333326
0.4978512,0.6428505,2,13,0.1577619,0.0357245
0.8646728,0.2140248,2,14,0.1939455,0.0349792
-0.2057636,1.5728066,2,15,0.2121444,0.0327481
-0.3745024,-0.3513326,2,16,0.2309634,0.0329294
0.6180196,-0.9545000,2,22,0.1895348,0.0355227
-0.1712887,-0.1585680,2,23,0.1915137,0.0334208
1.5689052,1.0165818,2,25,0.2142462,0.0346849
-0.8915553,0.1379283,2,28,0.1805312,0.0358344
-0.2196905,-0.6503890,2,29,0.1930501,0.0366088
-0.0563243,-0.2608054,2,35,0.2019382,0.0332735
-0.0341575,0.1422524,2,36,0.3715389,0.0355155
-1.1212761,-0.5169418,2,37,0.1829389,0.0351517
-0.4361188,0.0311010,2,38,0.2291635,0.0347135
1.1464053,-0.1725308,2,40,0.3006281,0.0343368
0.5009007,0.1980669,2,44,0.2914636,0.0348589
0.3737613,-0.3304927,2,50,0.2318919,0.0339833
-0.1993139,0.2845053,2,51,0.2519314,0.0345825
-0.3251389,-0.6377603,2,57,0.1652217,0.0325672
